Number,Order,Title,Author,Doctors,Featuring,Date
1,7Z,The Sirens of Time,Nicholas Briggs,"5th, 6th, 7th",,July 1999
2,6PA,Phantasmagoria,Mark Gatiss,5th,Turlough,October 1999
3,6ZA,Whispers of Terror,Justin Richards,6th,Peri,November 1999
4,6CA,The Land of the Dead,Stephen Cole,5th,Nyssa,January 2000
5,7R,The Fearmonger,Jonathan Blum,7th,Ace,February 2000
6,7CA,The Marian Conspiracy,Jacqueline Rayner,6th,Evelyn,March 2000
7,7S,"The Genocide Machine
Dalek Empire, Part 1",Mike Tucker,7th,"Ace, Daleks",April 2000
8,6QA,Red Dawn,Justin Richards,5th,"Peri, Ice Warriors",May 2000
9,7CB,The Spectre of Lanyon Moor,Nicholas Pegg,6th,"Evelyn, Brigadier",June 2000
10,6CB,Winter for the Adept,Andrew Cartmel,5th,Nyssa,July 2000
11,7CC,"The Apocalypse Element
Dalek Empire, Part 2",Stephen Cole,6th,"Evelyn, Romana II, Daleks",August 2000
12,7FA,The Fires of Vulcan,Steve Lyons,7th,Mel,September 2000
13,SS1,The Shadow of the Scourge,Paul Cornell,7th,"Ace, Benny",November 2000
14,SS2,The Holy Terror,Robert Shearman,6th,Frobisher,November 2000
15,6CC,"The Mutant Phase
Dalek Empire, Part 3",Nicholas Briggs,5th,"Nyssa, Daleks, Thals",December 2000
16,8B,Storm Warning,Alan Barnes,8th,Charley,January 2001
17,8C,Sword of Orion,Nicholas Briggs,8th,"Charley, Cybermen",February 2001
18,8D,The Stones of Venice,Paul Magrs,8th,Charley,March 2001
19,8E,Minuet in Hell,"Alan W. Lear
Gary Russell",8th,"Charley, Brigadier",April 2001
20,6PB,Loups-Garoux,Marc Platt,5th,Turlough,May 2001
21,7T,Dust Breeding,Mike Tucker,7th,"Ace, The Master",June 2001
22,7CD,Bloodtide,Jonathan Morris,6th,"Evelyn, Silurians",July 2001
23,7CE,Project: Twilight,"Cavan Scott
Mark Wright",6th,"Evelyn, Nimrod",August 2001
24,6QB,The Eye of the Scorpion,Iain McLaughlin,5th,"Peri, Erimem",September 2001
25,7U,Colditz,Steve Lyons,7th,"Ace, Klein",October 2001
26,6CD,Primeval,Lance Parkin,5th,Nyssa,November 2001
27,7CR,The One Doctor,"Gareth Roberts
Clayton Hickman",6th,Mel,December 2001
28,8F,Invaders from Mars,Mark Gatiss,8th,Charley,January 2002
29,8G,The Chimes of Midnight,Robert Shearman,8th,Charley,February 2002
30,8H,Seasons of Fear,"Paul Cornell
Caroline Symcox",8th,"Charley, Nimon",March 2002
31,8J,Embrace the Darkness,Nicholas Briggs,8th,Charley,April 2002
32,8K,"The Time of the Daleks
Dalek Empire, Part 4",Justin Richards,8th,"Charley, Daleks",May 2002
33,8L,Neverland,Alan Barnes,8th,"Charley, Romana II, Rassilon",June 2002
34,6CE,Spare Parts,Marc Platt,5th,"Nyssa, Cybermen",July 2002
35,6ZB,…ish,Phil Pascoe,6th,Peri,August 2002
36,7V,The Rapture,Joseph Lidster,7th,Ace,September 2002
37,7CF,The Sandman,Simon A. Forward,6th,Evelyn,October 2002
38,6QC,The Church and the Crown,"Cavan Scott
Mark Wright",5th,"Peri, Erimem",November 2002
39,7EA,Bang-Bang-a-Boom!,"Gareth Roberts
Clayton Hickman",7th,Mel,December 2002
40,7CG,Jubilee,Robert Shearman,6th,"Evelyn, Daleks",January 2003
41,6QD,Nekromanteia,Austen Atkinson,5th,"Peri, Erimem",February 2003
42,SS4,The Dark Flame,Trevor Baxendale,7th,"Ace, Benny",March 2003
43,7CH,Doctor Who and the Pirates,Jacqueline Rayner,6th,Evelyn,April 2003
44,6CF,Creatures of Beauty,Nicholas Briggs,5th,Nyssa,May 2003
45,7CJ & 7X,Project: Lazarus,"Cavan Scott
Mark Wright","6th, 7th","Evelyn, Nimrod",June 2003
46,7EB,Flip-Flop,Jonathan Morris,7th,Mel,July 2003
47,6EA,Omega,Nev Fountain,5th,Omega,August 2003
48,6WA,Davros,Lance Parkin,6th,Davros,September 2003
49,7Y,Master,Joseph Lidster,7th,The Master,October 2003
50,8M,Zagreus,"Gary Russell
Alan Barnes","3rd, 5th, 6th,
7th, 8th","Charley, Romana II, Leela, K-9, Rassilon",November 2003
51,SS5,The Wormery,"Stephen Cole
Paul Magrs",6th,Iris Wildthyme,November 2003
52,8N,Scherzo,Robert Shearman,8th,Charley,December 2003
53,8P,The Creed of the Kromon,Philip Martin,8th,"Charley, C'rizz",January 2004
54,8Q,The Natural History of Fear,Jim Mortimore,8th,"Charley, C'rizz",February 2004
55,8R,The Twilight Kingdom,Will Shindler,8th,"Charley, C'rizz",March 2004
56,6QE,The Axis of Insanity,Simon Furman,5th,"Peri, Erimem",April 2004
57,7CK,Arrangements for War,Paul Sutton,6th,Evelyn,May 2004
58,7W,The Harvest,Dan Abnett,7th,"Ace, Hex, Cybermen",June 2004
59,6QF,The Roof of the World,Adrian Rigelsford,5th,"Peri, Erimem",July 2004
60,7CL,Medicinal Purposes,Robert Ross,6th,Evelyn,August 2004
61,8S,Faith Stealer,Graham Duff,8th,"Charley, C'rizz",September 2004
62,8T,The Last,Gary Hopkins,8th,"Charley, C'rizz",October 2004
63,8U,Caerdroia,Lloyd Rose,8th,"Charley, C'rizz",November 2004
64,8V,The Next Life,"Alan Barnes
Gary Russell",8th,"Charley, C'rizz, Rassilon",December 2004
65,7CS,The Juggernauts,Scott Alan Woodard,6th,"Mel, Davros, Daleks, Mechonoids",January 2005
66,6CG,The Game,Darin Henry,5th,Nyssa,February 2005
67,7WA,Dreamtime,Simon A. Forward,7th,"Ace, Hex",March 2005
68,7CT,Catch-1782,Alison Lawson,6th,Mel,April 2005
69,6QG,Three's A Crowd,Colin Brake,5th,"Peri, Erimem",May 2005
70,7DA,Unregenerate!,David A. McIntee,7th,Mel,June 2005
71,6QH,The Council of Nicaea,Caroline Symcox,5th,"Peri, Erimem",July 2005
72,8W,Terror Firma,Joseph Lidster,8th,"Charley, C'rizz, Samson and Gemma Griffin, Davros, Daleks",August 2005
73,7CU,Thicker than Water,Paul Sutton,6th,"Mel, Evelyn",September 2005
74,7WB,LIVE 34,"James Parsons
Andrew Stirling-Brown",7th,"Ace, Hex",September 2005
